title,company,location,time,href,description_text
Brand Marketing and Creative Director,"Maxbone, Inc.","Los Angeles, CA",24 days ago,https://job-openings.monster.com/brand-marketing-creative-director-los-angeles-ca-us-maxbone-inc/218408645,"DescriptionMaxbone, Inc. in Los Angeles is seeking a Brand Marketing and Creative Director to articulate Co’s nat’l & int’l digital mktg strategy incl pop-up stores; resp for all aspects of design brand campaigns. Reqs: B.A. in Fashion Design + 2-yr exp in mktg & creative industry, must know Adobe prgms. Apply at: cf@maxbone.com"
Cost Accountant,Riedon Inc.,"ALHAMBRA, CA",27 days ago,https://job-openings.monster.com/cost-accountant-alhambra-ca-us-riedon-inc/218344074,"DescriptionCost Accountant Job SummaryWe are seeking a skilled, experienced cost accountant to join our growing organization. In this position, you will be responsible for overseeing and analyzing material/labor costing within the organization. The cost accountant will review existing purchases, production labor analysis and standard costing. You will also work across teams to present and translate important financial information.Cost Accountant Duties and ResponsibilitiesDevelop and maintain cost accounting system, documentation, and recordsDetermine the costs and efficiency of company production activitiesReview costs for all inventory, labor, and material purchasesSupport staff with Accounts Payable, Accounts Receivable Assist GM with financial analysis and other accounting requirementsOversee costing for plants in Alhambra and Tecate, MXCompile documentation on standard costs and company production costsCost Accountant Requirements and QualificationsBachelor’s degree in accounting, finance, business with an emphasis in accounting, or a related field preferred2-3 years of previous accounting, cost accounting, or related experienceExperience with ERP software (Plex, SAP, EPICOR, etc.) and Microsoft Office SuiteExcellent written and verbal communication skills Riedon compensation and benefitsCompetitive salary and bonus plan, Medical insurance, Simple IRA plan with company match"
Regional Director / Franchise Partner,"Altius Test Prep, LLC","Los Angeles, CA",27 days ago,https://job-openings.monster.com/regional-director-franchise-partner-los-angeles-ca-us-altius-test-prep-llc/218330929,"DescriptionIntroducing a Revolutionary New Career Path…Executive Franchise PartnershipThe Benefits of Traditional Employment. The Freedom and Prosperity of Ownership.GENERAL DESCRIPTION:Altius is disrupting the stagnant workplace model with a revolutionary new hybrid career path, the Executive Franchise Partnership (EFP). Our EFP model gives you all the benefits of traditional employment, including a secure salary and top-notch benefits, challenges you with the authority and responsibility of franchise ownership, and rewards you with the personal growth and financial prosperity typical of a highly-successful entrepreneur. Unlike starting your own business or buying into a franchise, the EFP opportunity requires no upfront financial investment, no franchise fee, and no royalties. EFP removes the barriers that have previously made it difficult for ambitious, hard-working young professionals like you to realize your full entrepreneurial potential.At the full partnership level, all EFP participants are guaranteed a minimum $300,000 salary. Start your new dream career today. Set your own schedule. Enjoy unlimited vacation. Earn guaranteed ownership in your assigned region. Complete your EFP Application Packet Today!Learn more about the EFP model here:  https://get.altiustestprep.com/efpapp/WHO IS THE IDEAL CANDIDATE FOR EFP?The ideal candidate for the Altius EFP program is filled with entrepreneurial spirit. This could include those currently running a traditional franchise, or considering a franchise purchase. In either case, EFP is generally a more profitable, lower-cost, less-risky opportunity. EFP is also the perfect way for anyone who has dreamed of starting their own business, or being their own boss, to achieve the benefits of business ownership without the inherent risks and startup costs. Formal university degrees are appreciated, but not required. Ambition, entrepreneurism, and relentlessness are far better predictors of success in the EFP program than degrees or professional titles. The EFP program welcomes applications from those who have faced and overcome unique life challenges, disadvantages, or setbacks. Former U.S. military personnel are strongly encouraged to apply—with or without franchise or entrepreneurial experience.JOB DETAILS:TITLE: Regional Director / Franchise Partner. Promotion to Regional Vice President is typical within 1-2 years.SALARY: Profit Sharing at Full-Partnership: $300,000. Guaranteed base salary of $75,000 on day one. Growth from $75k to $300k is tied to success benchmarks proven attainable by current or previous participants.BENEFITS: Unlike business start-ups or franchise buy-ins, all full-time Altius employees and EFPs participate in a complete benefits package including: health insurance, 401(k) and UNLIMITED vacation or personal time off.OTHER QUALIFICATIONS: 3-5 years of demonstrated growth and increasing accomplishment as an entrepreneur, armed services member, aspiring business leader, educator, or university advisor or administrator. Strong management, presentation, sales, organization, and relationship-building skills are a must. This is an aspirational position designed for ultra-driven individuals with true entrepreneurial spirit. Our goal is to mentor hungry individuals through a complete career transformation.EOE: Altius is an equal opportunity employer. We consider all applicants carefully, without regard to race, age, religion, gender identity, or sexual orientation."
United States Secret Service Officer (Uniformed Division),United States Secret Service,,4 days ago,https://job-openings.monster.com/united-states-secret-service-officer-uniformed-division-us-united-states-secret-service/218518745,"DescriptionAre you looking for a career in law enforcement? Consider joining the U.S. Secret Service as a Uniformed Division Officer. The prestigious mission of the Uniformed Division is to protect facilities and venues secured for U.S. Secret Service protectees. Working in the Office of Protective Operations, Uniformed Division, you will earn a starting salary of $61,796 (LE-0083-01, step 1) with the potential to reach $106,302 per year.During the course of their careers, Uniformed Division Officers carry out assignments in protection that include:Providing protection for The White House Complex, The Vice President's Residence, The Main Treasury Building and Annex, and foreign diplomatic missions and embassies in the Washington, D.C. area. Traveling in support of the Presidential, Vice Presidential, and foreign heads of state/government missions. Enforcing mandated protective responsibilities as described under Title 18, United States Code, Section 3056A. Become a part of the Uniformed Division’s mission and serve with a team that promotes a tradition of honor, integrity, and a commitment to excellence. Apply Now! EOE. #ZeroFailMission https://www.usajobs.gov/GetJob/ViewDetails/561729200"
Sales and Marketing,"Forever Active, Inc.","PASADENA, CA",+30 days ago,https://job-openings.monster.com/sales-marketing-pasadena-ca-us-forever-active-inc/214495233,"DescriptionDate:December 12, 2019Job Title:Sales/Marketing RepresentativeDuties and Responsibilities:Managers his/her territory to reach revenue and service goalsEducates all customers and referral sources about the products and services offered by the companyMaintains rapport with physicians and the communityProcesses all orders in a timely, accurate mannerPromotes services and products to referral sources in the community through direct and ongoing contact. Calls upon all major referral sources, on an ongoing basis periodically.Assists with implementation of the performance improvement program to meet company, federal, state and accrediting organization standardsDemonstrates the ability to be flexible, organized and function under stressful conditionsRepresents the company with business leaders, hospitals, home health agencies, physicians and the communityAssists in developing the annual marketing plan for the companyPerforms other duties as assignedAbility and ExperienceAble to communicate effectively in English, both verbally and in writingAdditional languages preferredTwo (2) years experience in healthcare marketing preferredAbility to market and manage marketing and sales for a designated territory and communicate well with clients, referral sources and company employeesBasic computer knowledge"
Insurance Agent – Entry Level Sales,Bankers Life,"Playa Vista, CA",3 days ago,https://job-openings.monster.com/insurance-agent-–-entry-level-sales-playa-vista-ca-us-bankers-life/df31bb86-e0f8-4f99-b4b4-fad6a8e32a8a,"DescriptionInsurance Agent – Entry Level SalesWhether your career is just getting started or you are looking to change professions, Bankers Life offers continuous support to ease your transition.Bankers Life is looking for passionate and determined professionals who want to build a rewarding and long-term career in sales. Whether you have 10 years of experience or just joining the job market, with our award-winning training programs and our one-on-one mentoring, we will help you build a strong sales foundation and teach you how to tap into the exploding insurance market where 10,000 Baby Boomers turn 65 every day. The best part is that you can start your interview process and training remotely!Some of the performance-based incentives, aside from commission include:Agent Accelerator Program: Earn up to $12,000 in bonuses your first yearQuarterly Bonuses: Earn up to $60,000 in bonuses per quarterHealth Benefits: Earn up to $2,400 in your first year and $6,000 in the following year.Company Paid Trips: Germany, Ireland, Bahamas, and more Your responsibilities will range from:Use company-sponsored leads to identify new avenues of business and sales opportunitiesSchedule appointments with current and perspective clientsReview a customer’s insurance policy options and plan for their futureParticipate in branch trainings to understand trends from field researchBankers Life has offered challenging and rewarding insurance sales opportunities for over 130 years with branch offices nationwide. Today, we serve more than 4 million middle-income working Americans. Apply today and begin living your best life!""subsidiaries of CNO Financial Group (collectively with various affiliated companies including, Bankers Life and Casualty Company, """"Bankers Life"""").[iii] Source: Bureau of Labor Statistics, U.S. Department of Labor, Occupational Outlook Handbook, Personal Financial Advisors, on the Internet at https://www.bls.gov/ooh/business-and-financial/personal-financial-advisors.htm (visited March 28, 2018). CA Residents: We collect personal information from you in order to consider you for career opportunities with our company and its affiliates. Please see bankerslife.com/privacy-center to learn more about the information we collect and how we use it. bankerslife.com/privacy-center"
Relationship Banker I - Valley-Stoneman Br.,Cathay Bank,"Alhambra, CA",2 days ago,https://job-openings.monster.com/relationship-banker-i-valley-stoneman-br-alhambra-ca-us-cathay-bank/218699082,"DescriptionGENERAL SUMMARYResponsible for primarily handling teller transactions, providing operational support, cross-selling bank products/services, and resolving customer service issues. Process transactions with accuracy and efficiency while delivering an overall professional and exceptional customer experience. As needed, will open accounts and refer customers to other areas of the bank as appropriate.  Follow regulations and bank security procedures to protect customers as well as minimize risk to the bank.ESSENTIAL FUNCTIONSOperations:Perform deposits and withdrawal transactions.Reconcile and balance teller cash drawer.Process outgoing wires.Essential functions of Safe Deposit box (e.g. entry, opening, maintenance).Assist customers with problem resolution.Assist in ATM balancing.Detect and report fraudulent or suspicious activities by completing BSA reporting as required, Currency Transactions Reports or Monetary Instrument Reports.New Accounts:Perform all aspects of new account opening procedures for all bank products/services.Answer customer inquiries, make appropriate financial solutions and recommendations and assist with problem resolution.Perform customer service functions such as check orders, change of address, return mail processing, supersede signature cards, and other account maintenance changes.Maintain confidentiality of customer information as well as Bank proprietary information.Sales and Service:Identify sales opportunities to cross-sell bank products and services to ensure customers’ financial goals are met.Provide quality personalized customer service, maintain frequent customer contact to expand relationships and ensure customer retention. Maintain open communication with Bank business partners and make referrals as appropriate (e.g. Financial Advisors, Mortgage Loan Originators, Commercial Lenders).Proactively support branch new business promotions.QUALIFICATIONS College degree in business, accounting or finance preferred or related work experience. 6-12 months of cash handling, customer service in a retail environment, or sales experience preferred.  Banking experience is a plus.  Desire to learn the banking industry, help others, and work in a professional environment.  PC literate and typing proficient. Previous experience with data entry, 10-key, banking software, and Microsoft Word, Excel, PowerPoint and Outlook a plus.  Detail-oriented and organized with good note taking and follow-up skills.  Good oral and written communication skills – can write clear messages, initiate conversations, and talk to customers about products and services.  Good listening and interpersonal skills – can listen without interrupting, seeks clarification, responds professionally, and keeps emotions under control in difficult situations.  Ability to work independently and as part of team.  Ability to give and receive feedback to improve skills and job knowledge.  Can maintain good attendance and arrive consistently at scheduled start time.  Bilingual English/Chinese (Mandarin or Cantonese) preferred. Able and willing to commute as required for business needs."
SSIS ETL Lead,Mindtree Ltd,"Pasadena, CA",5 days ago,https://job-openings.monster.com/ssis-etl-lead-pasadena-ca-us-mindtree-ltd/218751561,"DescriptionSSIS ETL LeadCompany Name: Mindtree Work Location: Pasadena, CADesired Candidate Profile8+ years of DW Project execution experience and very strong understanding of DW conceptsHands On development experience in Microsoft SQL Server 2012, TSQL & SSISVery Strong Analytical skillsGood Communication skillPrior experience in data analysis and SQL query tuningGood understanding of Dimensional Data ModellingWorked in Onsite-Offshore delivery modelPreferable – Banking and Financial domain experienceDevelopment  experience in SSASQualificationsSSISSSRSSSASDW concepts Experience Required 10+ years of industry experience Educational QualificationsTechnical degree required; computer science or electronics engineering degree desired;IndustryInformation Technology and ServicesEmployment TypeFull-time Mindtree Equal Employment Opportunity PolicyMindtree provides equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics.Why Work with Us:Recognized for our employee learning and talent development practicesGood work-life balance encouragedRecognition is the cornerstone of our cultureValues-driven and engaged leadership About Mindtree              Mindtree [NSE: MINDTREE] is a global technology consulting and services company, helping enterprises marry scale with agility to achieve competitive advantage. “Born digital,” in 1999 and now a Larsen & Toubro Group Company, Mindtree applies its deep domain knowledge to 300+ enterprise client engagements to break down silos, make sense of digital complexity and bring new initiatives to market faster. We enable IT to move at the speed of business, leveraging emerging technologies and the efficiencies of Continuous Delivery to spur business innovation. Operating in 18 countries and over 40 offices across the world, we’re consistently regarded as one of the best places to work, embodied every day by our winning culture made up of over 21,000 entrepreneurial, collaborative and dedicated “Mindtree Minds.” Welcome to possible!"
UI/UX Designer,enexusglobal,"South pasadena, CA",5 days ago,https://job-openings.monster.com/ui-ux-designer-south-pasadena-ca-us-enexusglobal/218762023,"DescriptionStrong experience in Mobile UI   Requirements:  Minimum of 3-5 years of UX Design/Product Design experience Expert in App Design and Interaction Design, Strong in Visual Design - able to apply elements from an existing Design System to ensure consistency with a broad suite of applications. Expert in Sketch, Zeplin, and InVision Proficient in prototyping tools such as Framer, Flinto, Axure or Principle Experience working with iOS App/Human Interface Guidelines Familiarity with iOS enough to understand if what you are designing can be built. More experience hands-on with development is always a plus but not expected to code. Excels at pairing side-by-side with Developers to ensure implementation meets the design intent. Demonstrable skills with reviewing implemented work, providing pointed feedback and holding the cross-functional team accountable to delivering the application as designed - ensuring it matches the designs created or where needed engaging in the discussion with the team and UX management on deviations based on input during the development process. Experience gathering input from end-users and conducting or participating in usability testing and needs-finding research. A strong portfolio that demonstrates your experience creating user-centered design solutions. Detail-oriented and have excellent work-file organization.  Difference between good and great candidate:  Capable of understanding and articulating the business need and the user need and translating both into an elegant solution that solves for both parties. Knows how to learn the user need through gathering data and insights (rather than inferring or using personal bias). Capable of both advocating for the user while understanding where to compromise to meet business goals. Possesses ability to articulate design solutions and intentions based on research, usability practices and business values. Able to persuade stakeholders of various groups in the company of the validity of an approach and facilitate discussions as a partner with a cross functional focus on meeting user and business goals. Team player who is comfortable with daily standups and actively engaged in regular meetings to define the solution together. Outcome focused team player who is comfortable with daily standups and is actively engaged in the full process to define and ship the solution."
OCM - Lead,"Ekman Associates, Inc.","Los Angeles, CA",6 days ago,https://job-openings.monster.com/ocm-lead-los-angeles-ca-us-ekman-associates-inc/218734571,"Description Job DescriptionTitle:               Organizational Change Management Location:        Los Angeles, CA Ekman Associates, Inc. is a Southern California based company focused on the following services: Management Consulting, Professional Staffing Solutions, Executive Recruiting and Managed Services. Summary:The Organizational Change Management role is responsible for developing a change management process with a structured methodology to create a strategy that will support adoption of the changes required by a new project implementation. Responsibilities: Responsible for the delivery of effective change management, which includes the development, tailoring, and application of a structured methodology and strategy based on situational awareness targeted at groups being impacted by the change(s).Lead and implement change initiatives related to business processes and technologies.Develop project strategies and plans, including stakeholder assessment, communications, leadership alignment, organization transition, change readiness, capability transfer, and end-user training.Develop short and long-term goals, KPIs, and objectives, and develop and execute against annual operational plan.Lead/facilitate meetings to ensure an understanding of the current company culture, and jointly develop a change adoption plan.Create process models, specifications, narratives, diagrams, and charts to provide direction to the program team.Direct the creation and development of implementation readiness materials.Act as a coach for business process owners in helping fulfill the role of change sponsor.Deliver internal change management activities to ensure ongoing stakeholder and user engagement, as well as articulate the ways in which changes will affect the users on a day-to-day basis. Identify project stakeholders, stakeholder characteristics, and associated change impacts.Track and report issues / risks and develop risk mitigation strategies and tactics.Document the existing processes and changes to the processesContribute to the program and project planning with change management related activitiesPerform the impact analysis from a change management perspectivePerform change management activities like stakeholder mapping and analysis, communication planning and execution, training plan creation and execution.Develop training approach including logistics, curriculum, materials, communication and executionMust be able to operate strategically as well as tactically and be willing to roll-up sleeves as neededQualifications:Bachelor’s Degree in Computer Science, Information Systems, Business Administration or another related field, and coursework in Organizational Change Management preferredChange Management Certified is preferredA solid understanding of how people go through a change and the change processExperience and knowledge of change management principles, methodologies and toolsExperience in project management and in bringing innovative ideas to realityExperience consulting and communicating with senior management teamsResults-oriented and customer-focused. Demonstrated ability to develop effective working relationships with external and internal customers, including senior managementStrong, decisive leader with the ability to drive and manage changeStrong interpersonal skills and the ability to adapt to a complex and changing environmentExperience working with detailed technical information and with technology; hands-onExceptional communication skills, both written and verbalExcellent active listening skillsExperience with large-scale organizational change effortsAble to work effectively at all levels in an organizationMust be a team player and able to work collaboratively with and through othersExcellent time management, interpersonal, listening, communication, presentation, organizational and financial skills.Qualified Candidates Only: If you wish to learn more about this opportunity and additional qualifications/responsibilities, please submit your resume.  To learn more about Ekman Associates, Inc. please visit our website at www.ekmanassociates.com."
Sr. Managed Care Contract Administrator,AHMC Healthcare Inc,"Alhambra, CA",10 days ago,https://job-openings.monster.com/sr-managed-care-contract-administrator-alhambra-ca-us-ahmc-healthcare-inc/218409104,"Description     Position Title:SR. MANAGED CARE CONTRACT ADMINISTRATORJob Code:XC4540Department:CORPORATESalary Grade: Reports To:CORPORATE MANAGER OF MANAGED CARE CONTRACTINGExempt/Non:  Exempt Effective Date: 11/1/2013 Revised Date: 6/18/2020                      Position Summary The Sr. Managed Care Contract Administratoris responsible for performing a full range of contract administration functions, focused on flawless execution of contract responsibilities.  The Sr. Managed Care Contract Administrator will as the agent of the company lead the program team in proposal activities, negotiations and all other miscellaneous contract activities and duties.  This position receives, processes, and releases contracts; reviews and negotiates terms and conditions; maintains contract files and supports Managed Care in all facets of contracting with ancillary providers, individual physician providers, health plans (HMO, EPO and PPO), medical groups, IPAs and hospitals.  This position conducts and reviewsmodeling, contract rate analysis, risk pool financial statements and analysesand ad hoc financial projects and rate analyses.  The Managed Care Contract Administrator also conducts joint operations meetings between hospitals and groups/IPAs, health plans and education meetings among hospital staff and various departments as assigned. AHMC provides consulting services to seven acute care hospitals: AHMC Anaheim Regional Medical Center with 223 beds, Garfield Medical Center with 210 beds, Greater El Monte Community Hospital with 117 beds, Monterey Park Hospital with 101 beds, Parkview Community Hospital with 191 beds, San Gabriel Valley Medical Center with 273 beds, and Whittier Hospital Medical Center with 178 beds. The facilities are Medicare and Medi-Cal certified and accredited by the Joint Commission on Accreditation of Healthcare Organizations.  The hospitals provide healthcare services reimbursed by Medicare, Medi-Cal, traditional insurance plans, PPO, HMO and under capitated arrangements.   Training/Experience 5+ years of related contracts experience; Managed Care negotiations preferredStrong knowledge of basic contract terminology, key provisions and/or reimbursement methodologies including capitationKnowledge of the structure of the health care industry, including provider systems (PPOs and EPOs), IPAs and acute hospital Managed Care operationsExperience researching compliance issues, applicable regulations and laws and formulating recommendations to managementAbility to interpret reimbursement information and salient terms from complex legal documents in healthcareAbility to communicate persuasively and diplomatically both verbally and in writingAbility to think analytically and logicallyProficient in Microsoft Word, Excel, and PowerPoint required; database experience preferred    Education/certification/license Bachelor’s degree in Business Administration, HealthCareAdministration or related concentration; graduate degree preferred.NCMA certification (CPCM or CFCM) preferred   Essential Job Functions  Negotiate contracts between ancillary providers,  health plans (EPO and PPO), medical groups/IPAs and hospitalsParticipate in contract negotiations between ancillary providers, health plans (EPO and PPO), medical groups/IPAs, individual physician providers and hospitals.Develop and review contract modeling and contract rate analyses.Prepare contract approval forms supporting submission of agreements for execution.Draft specialized RFP templates, agreements and amendments for vendor and client contracting.Review risk pool financial statements and analyses and ad hoc financial projects rate analyses.Develop and maintain templates as directed by attorney.Manage proposal(s) and final documents during negotiations.Preview contracts for acceptability of provisions and act as interface between negotiators and attorneys.Follow internal policies and procedures to ensure complianceConduct joint operations meetings between hospitals and IPA groups.Conduct joint operations meetings with health plans.Conduct educational meetings and/or training, in-service and staff meetings as requested.Participate in employee recognition programs.Abide by the hospital’s Code of Conduct, Policy and Procedures and HIPPA compliance.Perform additional duties as assigned.       physical Demand AnalysisEssential Functions  Explanation:  Each physical requirement is rated on a frequency scale of 0-3 to reflect the requirements for normal working hours.  Reasonable accommodations will be made as necessary. Physical Requirements Frequency rating:0.  None (0%)    1.  Occasional (1-33%)    2.  Frequently (34-66%)    3.  Constant (67-100%)A.  Sitting3I.  Wrist Deviation (Side to Side)3B.  Standing1J.  Hand/Wrist Repetitions (Up/Down)2C.  Walking1K.  Reaching1D.  GraspingSimple:  < 50 poundsFirm:  >50 pounds 10L.  Manual Dexterity/StrengthGross motor, light-moderate strengthGross motor, moderate -heavy strengthFine motor, light - moderate strengthFine motor, moderate-heavy strength 1111E.  Squatting/Kneeling/Crawling/Climbing1M.  Twisting/Bending1F.  PullingUp to 10 lb.Up to 25 lb.Up to 50 lb.Up to 100 lb.Over 100 lb. 10000N.  Lifts and CarriesUp to 10 lb.Up to 25 lb.Up to 50 lb.Up to 100 lb.Over 100 lb. 10000G.  Lifts OverheadUp to 10 lb.Up to 25 lb.Up to 50 lb.Up to 100 lb.Over 100 lb. 10000O.  PushingUp to 10 lb.Up to 25 lb.Up to 50 lb.Up to 100 lb.Over 100 lb. 00000H.  Visual RequirementsClose eye work (small figures)Color discrimination     Minimal color discrimination     Normal color discriminationOther _________________ 2 NoNo P.  Hearing RequirementsSpecial requirements (please specify)Normal hearing required.  Full fill communication needs telephones/verbal request/clear acuity required within 100 feet.  0WORKING CONDITIONS   Q. Non-Ionizing Radiation(welding flash, microwaves, sun)0T.    Ionizing Radiation(x-ray, radioactive isotopes)0R.   Hazardous Exposure(chemical [e.g. latex] and infectious)0U.   Personal Protective Equipment(e.g. respiratory mask, lead apron, etc.)0S.  Driving1V.  Other: ____________________"
Web and Graphic Designer,Quick USA,"Los Angeles, CA",17 days ago,https://job-openings.monster.com/web-graphic-designer-los-angeles-ca-us-quick-usa/218551214,"DescriptionBasic Qualification:2+ years of modern web development experience.Knowledge of current front-end web technologies: HTML5, CSS3Ability to manage multiple parallel projects and delivering quality releases on schedule.Strong communication skills, specifically with explaining technical concepts to a non-technical audiencePreferred Qualification:B2B technical marketing experience.Ability to manage multiple parallel projects and delivering quality releases on schedule.Knowledge of implementing web analytics.Ability to write and design web landing pages and experiences.Video editing experience.Job Duties:Ability to create clean, maintainable code using HTML, CSS that works perfectly in all major web browsers.Develop, adapt and maintain print and online sales/marketing collateral, including advertisement, brochures, website, email campaigns, social media, motion graphic videos and other materials as needed.Collaborate with Sales & Marketing to create compelling design concepts, artwork and layouts for multi-channel and integrated marketing efforts.Proficient in Adobe CC: Photoshop, Illustrator, PremiereGood conceptual design, layout and production skills.Self-starter, work with quick time constraints and stay organized.Multi-task while maintaining extreme attention to detail and quality control.Positive, upbeat communication and interpersonal attitude.Experience with advanced SEO/SEM methods."
Agent,Pinkerton,"Los Angeles, CA",1 day ago,https://job-openings.monster.com/agent-los-angeles-ca-us-pinkerton/9ca61a34-9c1f-424c-b11e-825f8cad8fba,"DescriptionJOB SUMMARY: The Agent will perform a variety of assignments including concierge-level, residential, or event security, response services, basic driving, and investigations.

Essential Functions:

The functions listed describe the business purpose of this job.  Specific duties or tasks may vary and be documented separately.  The employee might not be required to perform all functions listed. Additional duties may be assigned, and functions may be modified, according to business necessity.
All assigned duties or tasks are deemed to be part of the essential functions, unless such duties or tasks are unrelated to the functions listed, in which case they are deemed to be other (non-essential) functions.
Employees are held accountable for successful job performance.  Job performance standards may be documented separately, and may include functions, objectives, duties or tasks not specifically listed herein.
In performing functions, duties or tasks, employees are required to know and follow safe work practices, and to be aware of company policies and procedures related to job safety, including safety rules and regulations.  Employees are required to notify superiors upon becoming aware of unsafe working conditions.
All functions, duties or tasks are to be carried out in an honest, ethical and professional manner, and to be performed in conformance with applicable company policies and procedures.  In the event of uncertainty or lack of knowledge of company policies and procedures, employees are required to request clarification or explanations from superiors or authorized company representatives.

The Essential Functions Include:

Represent Pinkerton’s core values of integrity, vigilance, and excellence.
Provide the client with concierge-level security at the company location and/or events;
	
Deescalate tense situations or individuals that may arise.
Write detailed incident reports following any incident, occurrence, or variance that warrants documentation.


Conduct quality investigations and complete investigative reports.
Provide response services related to emergency and crisis planning, high risk terminations, workforce disruptions, natural disaster, civil unrest, and threat monitoring.
Transport the client to and from company location and/or events.
Secure the client’s residential perimeter;
	
Review CCTV, manage access controls, and respond to alarms, as needed.


Identify and escalate equipment deficiencies/failures.
All other duties, as assigned.

Minimum Hiring Standards:
Additional qualifications may be specified and receive preference, depending upon the nature of the position.

Must have a High School Diploma or GED.
Must be willing to participate in the Company’s pre-employment screening process, including drug testing and background investigation.
Must have a reliable means of communication (i.e., email, cell phone).
Must have a reliable means of transportation (public or private).
Must have the legal right to work in the United States.
Must have the ability to speak, read, and write English.
Must have applicable state and local license/permits to carry a concealed firearm.

Education/Experience:
High School Diploma or GED with law enforcement, military, and/or security experience.
 
Competencies (As Demonstrated Through Experience, Training, and/or Testing):


California Guard Card and CCW.
Law enforcement, military, and/or security experience.
Concierge-level customer service experience.
Able to complete thorough and accurate investigations and reports.
Access control systems, CCTV, alarm monitoring experience.
Strong problem resolution skills.
Able to interact effectively at all levels and across diverse cultures.
Solid verbal and written communication skills.
Computer knowledge; Microsoft Office.

Working Conditions (Physical/Mental Demands):
With or without reasonable accommodation, requires the physical and mental capacity to perform effectively all essential functions. In addition to other demands, the demands of the job include:

Must undergo and meet company standards for background and reference checks, controlled substance testing, and behavioral selection survey.
Maintain composure in dealing with authorities, executives, clients, staff, and the public occasionally under conditions of urgency and in pressure situations.
Exposure to sensitive and confidential information.
Ability to handle multiple tasks concurrently.
Must be able to see, hear, speak, and write clearly in order to communicate with employees and/or customers. 
Exposure to stressful situations, such as challenging individuals who are in or approaching an unauthorized area.
Rapid and effective decision-making during unusual or emergency situations.
Work in environments and under conditions that may require carrying authorized weapons and ammunition, the use of protective gear and devices, and/or awareness of personal safety.
Seeing, hearing, speaking, and writing clearly in order to respond effectively to situations, communicate with employees and clients, observe and report incidents and direct others.
Frequent sitting and/or standing and walking, which may be required for long periods of time, and may involve climbing stairs and walking up inclines and on uneven terrain.
Some lifting and moving up to 10 pounds and occasionally up to 25 pounds.
Close and distance vision and ability to adjust focus.
Travel, as required.

 
 
EOE/M/F/Vet/Disabilities"
Sales Associate Job in Beverly Hills,Weichert,"Beverly Hills, CA",Posted today,https://job-openings.monster.com/sales-associate-job-in-beverly-hills-beverly-hills-ca-us-weichert/d309399a-0b94-4454-9ffa-fe3f418cadfc,"DescriptionThe Best TrainingOur award winning training program is one of the best in the industry. We understand real-estate sales, and we know how to teach you the skills and techniques you will need.Accelerate, our program designed specifically for beginners, will get you started earning in no time. Success track, for more experienced agents, will streamline your transition and introduce you to the tools that will increase your success.We believe that no one ever stops learning. With hundreds of online courses available at any time, and the support of the entire Weichert family, you will be confident in your knowledge and prepared for success.Our ManagersWe have a great management structure here, one that is designed to really help you do well. Your manager will be there to offer guidance and answer questions. You can rely on their expertise to supplement your in-office training and online resources. While they will also be making sales, you won’t be competing with them for business.A Strong BrandWeichert is a recognized leader in the industry, and we are proud to maintain very high levels of customer satisfaction. We get many strong leads from our online presence and our well-known, trusted brand. Weichert open houses frequently lead directly to a sale, and we have one of the most visited real-estate broker websites.Our ServicesAs a one-stop real-estate shop, we are able to offer more to our customers. From mortgages to relocation services, we can streamline and simplify the home-buying process. This is a great competitive advantage in the industry and will help you make sales as you get started.Earning PotentialYou must be willing and able to obtain a real estate salesperson license, and must be comfortable meeting new people. We are looking for people who are naturally independent, with a high degree of self-discipline and an entrepreneurial mindset.In this commission-based role, you will have the flexibility to set your own hours and freedom to work in a way that suits you. If you have an entrepreneurial spirit and the drive to succeed, your earning potential is unlimited.Each Weichert® Franchised Office is Independently Owned and Operated.All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, or protected veteran status.Apply NowFill out the form below and a Career Development Specialist will contact you. Your information will be kept strictly confidential.SELECT ONESelect a stateSELECT ONE* Required Fields"
"Expert Industrial Designer with experience in Graphic Design PrincesSea LLC – Los Angeles, CA",PrincesSea LLC,"West Hollywood, CA",1 day ago,https://job-openings.monster.com/expert-industrial-designer-with-experience-in-graphic-design-princessea-llc-–-los-angeles-ca-west-hollywood-ca-us-princessea-llc/218845070,"DescriptionJob Description:Seeking an expert in Industrial Design as well as knowledge in Graphic design for our company. Upcoming brand looking to expand.Job Responsibilities:Meet three times weekly with Design Team to review status of all projects, and send a weekly status updateProvide constant, clear communication throughout the week.Job Requirements:expert in graphic designexpert in industrial designingPrevious experience in 3D modelingPrevious experience in producing and creating 3D modeled videosStrong AutoCAD skills and MAC proficient3D rendering, Photoshop and Sketchup programs (a plus)Highly organized, detail oriented and able to multi-taskStrong oral, written, and organizational skillsExcellent problem solving skills and resourcefulnessStrong work ethic, can carry projects through to completionTeam player/positive attitudeHours: 20 hrs/weekThis Job Is Ideal for Someone Who Is:Dependable - more reliable than spontaneousPeople-oriented - enjoys interacting with people and working on group projectsAdaptable/flexible - enjoys doing work that requires frequent shifts in directionDetail-oriented - would rather focus on the details of work than the bigger pictureAutonomous/Independent - enjoys working with little directionJob Type: Part-timeSalary: $25,000.00 to $30,000.00 /year"
